id,name,rating,reviews,bathrooms,beds,guests,toilets,bedrooms,studios,checkin,checkout,host_id,country,family_suitability,price_fix,safety,natural_condition,work_suitability
19154366,Room No 2 Second Floor,4,5,1,1,2,0,1,0,1,1,25799332.0,India,1,57.0,1,0,2
606042950562712614,Free breakfast and parking in Shey Leh lakakh,0,0,1,1,2,0,1,0,2,1,450436315.0,India,1,68.0,1,0,0
32363625,A Resort with Restaurant and Pool,0,0,38,24,16,0,24,0,3,0,109733836.0,Nepal,0,97.0,1,1,2
601765468848393954,AC Large Couple Room,0,0,1,1,3,0,1,0,2,0,451232567.0,India,0,152.0,4,0,1
7748867,Trinity Home Stay,0,2,6,7,15,0,7,0,0,0,40710870.0,India,0,61.0,1,1,1
10755602,Buxa Homestay at Rajabhatkhawa,4,4,1,2,3,0,1,0,2,1,55618733.0,India,1,95.0,1,0,0
13537852,Quiet-Peaceful-Bed & Breakfast-Tollygunge -AC-4,4,3,1,2,2,0,1,0,0,0,77621621.0,India,3,53.0,1,0,2
2480439,"A luxury Room, in Downtown Central Ahmadabad Area",4,7,1,2,2,0,1,0,2,1,9767895.0,India,1,188.0,3,0,3
53932047,In Harmony With Nature,0,0,1,1,2,0,1,0,2,1,436890403.0,Nepal,3,36.0,1,0,1
2725703,Annapurna Room,4,10,0,2,2,1,1,0,0,0,6036182.0,Nepal,1,64.0,1,0,1
35095329,Ful bar,0,0,1,1,3,0,1,0,1,0,214544610.0,Nepal,1,34.0,1,0,1
51765465,Donskit Guesthouse Room 4,0,0,1,1,2,0,1,0,3,1,195545864.0,India,1,88.0,3,0,2
30967698,En-suite Room & Bathroom|Private Balcony|WiFi,0,2,1,1,3,0,1,0,2,1,34262036.0,India,2,51.0,3,0,2
30415986,Kot Dunara-A Heritage Homestay in Rustic Rajasthan,0,0,4,4,8,0,4,0,1,2,36018422.0,India,1,176.0,1,0,2
19009114,Ganesh Himal Room,4,13,1,1,2,0,1,0,2,0,6036182.0,Nepal,1,64.0,1,0,1
4391553,Hill side hut w/balcony Mcleodganj Bed & Breakfast,0,0,1,1,2,0,1,0,2,2,22701048.0,India,1,67.0,1,0,1
32196979,Your wooden cottage home in Bhimtal,0,0,1,1,2,0,1,0,2,1,197715314.0,India,1,106.0,1,0,1
22806172,Happy Home Stay (A/C ROOMS),4,15,12,14,16,0,10,0,3,1,168306711.0,India,2,30.0,1,0,2
49374543,Trullo Le Cicale with pool,5,4,2,4,4,0,2,0,2,1,7634184.0,Italy,3,397.0,1,0,1
48107685,Trullo Amenil - brand new!,5,22,2,6,8,0,3,0,2,1,71008954.0,Italy,1,425.0,3,0,2
50646596,Saracen trullo immersed in centuries-old olive trees,5,7,1,2,3,0,1,0,2,1,409124605.0,Italy,2,666.0,1,0,2
1210499,"Beautiful Trullo in Salento, Apulia",4,93,1,1,2,0,1,0,2,1,6610751.0,Italy,2,177.0,1,0,1
33825344,"Trullo near Ostuni quiet area, solar & fenced pool",4,21,2,5,8,0,3,0,2,1,71320646.0,Italy,2,562.0,3,0,2
39746712,"Trullo ""LA SPECCHIA"" wonderful Trullo",5,17,3,5,8,0,4,0,2,1,65871707.0,Italy,2,1079.0,1,0,2
44086907,Trullo Il Noce entire vacation home,5,13,4,5,9,0,3,0,2,1,353720370.0,Italy,3,448.0,2,0,2
46004383,Casa Pina,5,7,2,6,6,0,3,0,2,0,236230933.0,Italy,0,244.0,1,0,1
3942981,Santa Lucia Slow Trullo&Pool and Organic Garden,4,39,3,4,6,0,3,0,2,1,20431321.0,Italy,2,914.0,1,0,1
5569061,white tree trullo,4,22,4,6,8,0,4,0,2,1,28872249.0,Italy,1,852.0,2,0,1
1126566,"Villa of 4 trullo cones, big property, sea view",4,35,2,6,9,0,4,0,0,0,6037019.0,Italy,2,459.0,0,0,2
41278625,Villamore Apulia  - Total privacy - Sea view,5,4,3,3,6,0,3,0,2,1,4341247.0,Italy,1,2370.0,1,0,2
6468984,"Pietra800"" ancient trullo",5,6,1,1,2,0,1,0,2,1,33795151.0,Italy,1,348.0,1,0,0
34499646,Borgo Marianna- Fenced and heated pool,4,7,4,7,10,0,5,0,2,1,4341247.0,Italy,1,1200.0,1,0,3
18064545,Trullo del Mandarino 2 BIKE + HIGH CHAIR,0,1,1,4,4,0,1,0,2,1,4341247.0,Italy,3,475.0,1,0,2
24027262,Trullo TrueLoveBR07401491000000266-PISCINA PRIVATA,0,0,3,3,6,0,3,0,2,1,170890907.0,Italy,2,1035.0,1,0,2
43738198,The Araucaria,0,0,4,6,8,0,4,0,0,0,170890907.0,Italy,1,1184.0,1,0,2
25092210,"""TRULLO LA PETRA NERA""  (BR07401491000000025)",0,0,3,5,9,0,4,0,2,1,123599674.0,Italy,2,924.0,3,0,1
49872573,House with garden in old town Carovigno,4,9,1,2,4,0,2,0,2,1,26202839.0,Italy,2,321.0,1,0,1
558557566968742904,2524 Trullo Melina,0,1,2,1,6,0,2,0,2,1,9632167.0,Italy,0,369.0,1,0,1
53514991,TRULLO D'ORIENTE,5,10,3,4,9,0,4,0,2,1,433341835.0,Italy,2,1068.0,1,0,2
604204211457572064,2769 BARBARHOUSE - Uliveto Valeria - Trullo Fico,5,3,2,3,8,0,3,0,2,1,9632167.0,Italy,0,364.0,1,0,2
51029965,Idyllic trullo with pool,4,11,2,3,6,0,3,0,2,1,155236593.0,Italy,2,859.0,1,0,2
25803254,"Stone ""Trullo"" Elisa with seaside view",4,25,1,2,3,0,1,0,2,1,152357690.0,Italy,2,313.0,1,2,2
580443747674404096,Trullo Olea,0,2,1,3,6,0,3,0,2,1,347113880.0,Italy,0,681.0,1,0,3
41080447,Trullo with pool in the countryside near Ostuni,4,8,2,7,8,0,4,0,2,1,32338350.0,Italy,2,612.0,1,0,2
958062,Trullo  ALTO SALENTO OSTUNI,4,27,3,8,11,0,4,0,0,0,5211563.0,Italy,1,989.0,2,0,2
50991401,Trullo Zese Luxury,5,3,1,2,4,0,1,0,2,1,4341247.0,Italy,1,542.0,1,0,2
32462934,Trullo Salentino,5,12,1,1,7,0,2,0,2,1,226185589.0,Italy,3,273.0,1,0,1
36051031,The Trullo di Belvedere,5,13,1,1,2,0,1,0,2,1,271217427.0,Italy,1,183.0,1,0,0
44444616,Trullo Poggio with swimming pool - Fenced - Near the Sea,0,2,1,2,5,0,2,0,2,0,4341247.0,Italy,3,727.0,2,0,2
53259108,2 bedrooms appartement with enclosed garden and wifi at Torre Guaceto - 2 km away from the beach,0,0,1,3,4,0,2,0,2,1,431170929.0,Italy,3,606.0,1,0,2
25522872,Casa3 Trullo 2 personen,4,19,1,1,2,0,1,0,2,1,106007199.0,Italy,1,292.0,1,1,0
35334818,Trullos Olea,0,0,1,5,6,0,1,0,2,1,205485233.0,Italy,1,560.0,1,0,2
3214283,Stone House in country side,4,9,3,4,6,0,3,0,0,0,12411083.0,Italy,2,835.0,1,1,0
18068084,Trullo + Pool. LAST MINUTE 03.08/10.08,0,0,1,6,6,0,2,0,2,1,4341247.0,Italy,3,316.0,1,0,2
24591260,Trullo della Pace - Trullo Storico,5,8,2,2,4,0,2,0,2,1,185828986.0,Italy,1,492.0,2,0,1
623701412191596903,BarbarHouse - Mar? Trullo 2822,0,0,3,5,8,0,3,0,2,1,9632167.0,Italy,0,897.0,1,0,2
51138167,2481 Tenuta Sardella,0,0,2,4,6,0,3,0,2,1,9632167.0,Italy,0,488.0,1,0,1
